question,option1,option2,option3,option4,answer,category
What is the capital of France?,Berlin,Madrid,Paris,Rome,Paris,Geography
Who developed the theory of relativity?,Isaac Newton,Albert Einstein,Nikola Tesla,Galileo Galilei,Albert Einstein,Science
Which language is used for web apps?,Python,JavaScript,HTML,All of the above,All of the above,Technology
What year did India get independence?,1947,1950,1945,1930,1947,History
Which planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,Mars,Science
What does HTML stand for?,Hyper Trainer Marking Language,Hyper Text Markup Language,Hyperlink and Text Markup Language,Home Tool Markup Language,Hyper Text Markup Language,Technology
Who was the first President of India?,Dr. Rajendra Prasad,Jawaharlal Nehru,Sardar Vallabhbhai Patel,APJ Abdul Kalam,Dr. Rajendra Prasad,History
Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,Carbon Dioxide,Science
What is the currency of Japan?,Yuan,Yen,Won,Ringgit,Yen,Geography
What is the chemical symbol for Gold?,Au,Ag,Go,Gd,Au,Science
Which country hosted the 2020 Olympics?,China,USA,Japan,Brazil,Japan,Sports
Who is the founder of Microsoft?,Bill Gates,Steve Jobs,Larry Page,Mark Zuckerberg,Bill Gates,Technology
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,Pacific Ocean,Geography
Which Indian cricketer is known as the "God of Cricket"?,Virat Kohli,MS Dhoni,Rahul Dravid,Sachin Tendulkar,Sachin Tendulkar,Sports
Which movie won Best Picture at the 2023 Oscars?,Avatar 2,Everything Everywhere All at Once,Top Gun: Maverick,The Fabelmans,Everything Everywhere All at Once,Movies
